iso3,country,year,Track,GovEff,RuleLaw,RegQual,CPI,CtrlCorr,GII,RD,ECI,EduIdx,LifeExpIdx,GDPpcPPP,ResRents,ODA,PolStab,FSI,P1,P2,P3,P4,P5,v1_raw,v1_MScore,P1_GPA,P2_GPA,P3_GPA,P4_GPA,P5_GPA,v2_GPA,pillar_spread,config_profile,gap_count,gaps_noted
ARE,United Arab Emirates,1996,2,60.5301,67.7539,62.3286,,52.7410,,,0.2140,0.5361,0.7972,94619.5988,20.7196,,83.8910,,0.6084,0.6717,0.6666,0.8284,0.8389,0.7029,0.5413,2.7913,2.0571,2.3262,2.6376,3.3797,2.6981,0.1043,P5>P4>P2>P3>P1,2,RD; ODA
CZE,Czechia,1996,2,64.1617,70.7022,62.1195,,64.2159,,0.8837,1.2890,0.7119,0.8282,14780.8272,0.7020,,84.7587,,0.6530,0.5015,0.7701,0.8661,0.8476,0.7006,0.5352,2.9809,3.1699,3.2759,3.0946,3.4439,3.1831,0.1517,P4>P5>P3>P1>P2,1,ODA
PRT,Portugal,1996,2,65.3841,78.6012,69.6203,,79.7657,,0.5495,0.6000,0.6529,0.8535,14922.0004,0.1768,,88.7519,,0.7334,0.4133,0.7532,0.8701,0.8875,0.7001,0.5338,3.4001,2.2692,3.0779,3.2515,3.7219,3.2347,0.1906,P5>P4>P3>P1>P2,1,ODA
BRA,Brazil,1996,2,51.6821,51.0984,53.1749,,50.2720,,,0.8160,0.5527,0.7401,8300.6341,1.1489,0.0307,65.3389,,0.5156,0.7797,0.6464,0.8329,0.6534,0.6850,0.4938,2.2088,3.0857,2.0113,2.6350,2.0535,2.3912,0.1245,P4>P2>P5>P3>P1,1,RD
HUN,Hungary,1996,2,67.1599,71.8662,61.8628,,66.2956,,0.6279,0.9190,0.6886,0.7784,9387.5760,0.7553,,83.6608,,0.6680,0.4481,0.7335,0.8424,0.8366,0.6779,0.4748,3.1378,2.6880,2.9005,2.9817,3.3369,3.0644,0.1615,P4>P5>P3>P1>P2,1,ODA
CYP,Cyprus,1996,2,74.2571,71.7586,69.0923,,79.0597,,0.2033,0.4290,0.6331,0.8751,17319.9980,0.0147,0.2370,74.7717,,0.7354,0.3707,0.7541,0.8749,0.7477,0.6771,0.4728,3.3567,1.6293,3.1682,3.1277,2.6310,2.9391,0.1907,P4>P3>P5>P1>P2,0,
POL,Poland,1996,2,64.8620,68.2744,59.7950,,64.9089,,0.6369,0.8900,0.7295,0.8039,8310.2991,0.8367,,78.8341,,0.6446,0.4462,0.7667,0.8355,0.7883,0.6720,0.4592,2.9018,2.6805,3.1795,2.9254,2.9947,2.9616,0.1565,P4>P5>P3>P1>P2,1,ODA
HRV,Croatia,1996,2,44.8229,45.3490,50.0828,,33.1266,,,0.7610,0.5908,0.8150,8805.6367,0.8467,,62.5412,,0.4335,0.7698,0.7029,0.8385,0.6254,0.6716,0.4583,1.5131,3.0000,2.6908,2.9480,1.7968,2.2721,0.1560,P4>P2>P3>P5>P1,2,RD; ODA
OMN,Oman,1996,2,56.5467,65.9140,52.3534,,58.0249,,,-0.1460,,0.8004,34660.6248,37.1448,0.4902,81.0629,,0.5821,0.6071,0.8004,0.6590,0.8106,0.6702,0.4546,2.6163,1.8286,2.8308,2.0757,3.1658,2.5384,0.1075,P5>P3>P4>P2>P1,2,EduIdx; RD
SVK,Slovak Republic,1996,2,61.0084,61.3054,56.1335,,55.3060,,0.8810,1.1270,0.6339,0.8114,9499.5720,0.4899,,84.1231,,0.5844,0.4867,0.7227,0.8447,0.8412,0.6654,0.4417,2.6082,3.0060,2.8636,3.0602,3.4011,2.9521,0.1583,P4>P5>P3>P1>P2,1,ODA
GRC,Greece,1996,2,61.2174,74.0628,60.6372,,62.1131,,0.4427,0.3970,0.6614,0.8929,15778.4020,0.0727,,77.0564,,0.6451,0.3867,0.7772,0.8737,0.7706,0.6652,0.4411,3.0217,2.0218,3.3262,3.3357,2.7380,2.9680,0.1883,P4>P3>P5>P1>P2,1,ODA
LBN,Lebanon,1996,2,46.0269,52.9708,47.7327,,35.0422,,,0.2570,,0.8094,7559.7565,0.0089,1.6698,53.7432,,0.4544,0.6794,0.8094,0.8083,0.5374,0.6608,0.4294,1.7306,2.1143,2.9333,2.6581,1.1765,2.0947,0.1597,P3>P4>P2>P5>P1,2,EduIdx; RD
BHR,Bahrain,1996,2,60.5301,59.1159,59.0917,,50.0345,,,0.3360,0.5346,0.8248,40105.8477,22.4741,2.1775,60.9200,,0.5719,0.6936,0.6797,0.7362,0.6092,0.6605,0.4287,2.5597,2.3143,2.4769,1.9751,1.6471,2.2723,0.0664,P4>P2>P3>P5>P1,1,RD
EST,Estonia,1996,2,58.6672,68.5529,67.9821,,57.6908,,0.5650,0.6990,0.7368,0.7697,6891.8558,3.0026,,78.6261,,0.6322,0.4234,0.7532,0.8114,0.7863,0.6555,0.4154,2.9076,2.4466,2.9087,2.5940,2.9733,2.8155,0.1597,P4>P5>P3>P1>P2,1,ODA
QAT,Qatar,1996,2,55.9085,56.7527,48.9511,,48.8155,,,0.3320,0.5902,0.8394,62331.3683,40.4522,,71.1291,,0.5261,0.6929,0.7148,0.6754,0.7113,0.6539,0.4112,2.2233,2.2857,2.7938,2.4975,2.3957,2.4286,0.0787,P3>P5>P2>P4>P1,2,RD; ODA
URY,Uruguay,1996,2,65.6947,66.2894,61.0786,,67.9318,,0.2650,0.1420,0.6198,0.8279,9524.0870,0.3814,0.1809,76.7941,,0.6525,0.3498,0.7238,0.8426,0.7679,0.6407,0.3761,3.0014,1.5053,2.8656,2.8283,2.6952,2.7017,0.1904,P4>P5>P3>P1>P2,0,
JOR,Jordan,1996,2,55.2475,60.9237,49.2198,,51.2176,,,0.2960,0.5541,0.7862,5054.7484,0.1682,7.6824,61.6333,,0.5415,0.6864,0.6702,0.6863,0.6163,0.6399,0.3741,2.3564,2.2143,2.3528,2.0661,1.6898,2.1934,0.0622,P2>P4>P3>P5>P1,1,RD
TUN,Tunisia,1996,2,61.7456,52.5972,52.5488,,40.4341,,,0.0390,0.4568,0.7884,5039.7110,3.0816,0.6839,68.2542,,0.5183,0.6403,0.6226,0.7834,0.6825,0.6391,0.3719,2.1643,1.9714,2.0031,1.9891,2.2460,2.1093,0.0962,P4>P5>P2>P3>P1,1,RD
SAU,Saudi Arabia,1996,2,45.4496,60.5541,49.1533,,40.1272,,,0.6150,0.4981,0.7890,48569.1633,34.3754,0.0087,60.7628,,0.4882,0.7436,0.6436,0.7029,0.6076,0.6380,0.3690,1.9613,2.7714,2.1067,2.3232,1.6257,2.1444,0.0984,P2>P4>P3>P5>P1,1,RD
LTU,Lithuania,1996,2,50.9406,63.9397,64.5128,,56.9216,,0.4889,0.6650,0.6733,0.7722,6479.1946,1.3957,,75.5965,,0.5908,0.4144,0.7228,0.8190,0.7560,0.6352,0.3617,2.7034,2.3128,2.7159,2.6889,2.6738,2.6662,0.1609,P4>P5>P3>P1>P2,1,ODA
JAM,Jamaica,1996,2,50.7095,54.1062,55.9170,,50.1307,,,-0.3060,0.5378,0.7897,6706.1076,2.7964,0.8705,60.0347,,0.5272,0.5784,0.6637,0.7969,0.6003,0.6286,0.3440,2.2761,1.5429,2.3272,2.1158,1.6043,2.0575,0.1038,P4>P3>P5>P2>P1,1,RD
PHL,Philippines,1996,2,48.0772,56.6222,54.6690,,40.6727,,,0.0170,0.5608,0.7183,3082.3097,0.5663,0.8791,55.4328,,0.5001,0.6363,0.6396,0.7715,0.5543,0.6218,0.3259,2.1076,1.9429,1.9692,2.0855,1.2834,1.9455,0.1028,P4>P3>P2>P5>P1,1,RD
MYS,Malaysia,1996,2,66.3729,65.6450,62.1236,,54.9767,,0.2165,0.6680,0.5548,0.8018,11709.2670,12.7125,-0.4748,72.3303,,0.6228,0.3932,0.6783,0.7820,0.7233,0.6184,0.3169,2.8904,1.8639,2.4790,2.6022,2.4813,2.5764,0.1498,P4>P5>P3>P1>P2,0,
ARG,Argentina,1996,2,55.2187,59.1912,58.5718,,43.3037,,0.4175,0.5570,0.6642,0.8162,10495.8392,1.5960,0.0459,66.3961,,0.5407,0.3991,0.7402,0.8418,0.6640,0.6177,0.3152,2.3821,2.0301,3.0144,2.6471,2.0963,2.4616,0.1726,P4>P3>P5>P1>P2,0,
CRI,Costa Rica,1996,2,50.8789,65.9389,58.0001,,67.2795,,0.3022,-0.2890,0.5455,0.8681,6568.4442,2.5788,-0.0018,78.4200,,0.6052,0.3141,0.7068,0.8118,0.7842,0.6120,0.3000,2.7317,1.3541,2.7436,2.7634,2.9305,2.5924,0.2013,P4>P5>P3>P1>P2,0,
LVA,Latvia,1996,2,43.2140,58.0477,63.8815,,41.8881,,0.4089,0.6030,0.6874,0.7475,5688.3497,2.5358,,75.5239,,0.5176,0.4025,0.7175,0.8047,0.7552,0.6100,0.2946,2.2189,2.0519,2.6892,2.5429,2.6524,2.4254,0.1716,P4>P5>P3>P1>P2,1,ODA
VEN,"Venezuela, RB",1996,2,37.1554,43.4257,44.0405,,32.0840,,,0.4230,0.5211,0.7988,13824.4687,23.8368,0.0524,56.4275,,0.3918,0.7092,0.6600,0.7076,0.5643,0.6052,0.2819,1.1645,2.5143,2.2585,2.0543,1.3904,1.7677,0.1337,P2>P4>P3>P5>P1,1,RD
COL,Colombia,1996,2,50.3130,41.9979,50.1276,,37.4354,,,0.2700,0.5294,0.7724,6638.8397,3.7238,0.2051,31.6625,,0.4497,0.6817,0.6509,0.8013,0.3166,0.6050,0.2813,1.6932,2.1429,2.0728,2.2335,0.2781,1.7199,0.1941,P4>P2>P3>P1>P5,1,RD
MUS,Mauritius,1996,2,60.5413,70.8261,57.3111,,57.1083,,0.2753,-0.5360,0.5031,0.7773,7206.3638,0.0139,0.4581,83.0359,,0.6145,0.2898,0.6402,0.8260,0.8304,0.6023,0.2744,2.7781,1.1835,1.9969,2.8156,3.2727,2.5283,0.2203,P5>P4>P3>P1>P2,0,
ROU,Romania,1996,2,34.3526,56.3348,48.2070,,42.6516,,0.6747,0.8300,0.6170,0.7511,5745.6734,3.3467,,74.2350,,0.4539,0.4438,0.6841,0.7998,0.7423,0.5954,0.2560,1.7299,2.7150,2.3497,2.4701,2.6096,2.2830,0.1658,P4>P5>P3>P1>P2,1,ODA
DOM,Dominican Republic,1996,2,45.4496,46.6427,46.0362,,44.4179,,,-0.6110,0.4887,0.7630,5160.9878,0.7034,0.4722,62.5763,,0.4564,0.5237,0.6259,0.8040,0.6258,0.5936,0.2511,1.7185,1.1429,1.8308,2.3499,1.8182,1.8095,0.1315,P4>P3>P5>P2>P1,1,RD
THA,Thailand,1996,2,59.2286,67.4427,53.9558,,44.1422,,0.1192,0.3800,0.4582,0.7683,7322.4146,0.8847,0.4660,73.7595,,0.5619,0.3597,0.6132,0.8209,0.7376,0.5910,0.2443,2.4942,1.3895,1.8215,2.4799,2.5882,2.2580,0.1771,P4>P5>P3>P1>P2,0,
TTO,Trinidad and Tobago,1996,2,51.2868,69.9625,59.2459,,65.0208,,0.1032,0.1660,0.5792,0.7391,9882.7257,13.9995,0.2879,68.5401,,0.6138,0.3392,0.6592,0.7519,0.6854,0.5890,0.2390,2.7678,1.1827,2.1210,2.0083,2.2674,2.2222,0.1594,P4>P5>P3>P1>P2,0,
BGR,Bulgaria,1996,2,39.6125,53.6064,46.6871,,43.9735,,0.4183,0.7270,0.6329,0.7821,6849.0021,1.0016,,64.0015,,0.4597,0.4144,0.7075,0.8245,0.6400,0.5889,0.2388,1.7853,2.2083,2.6318,2.7676,1.9037,2.2174,0.1712,P4>P3>P5>P1>P2,1,ODA
PAN,Panama,1996,2,44.3374,53.2667,57.6554,,41.2848,,0.3328,0.2960,0.5724,0.8031,6420.5126,0.1748,0.6484,67.5392,,0.4914,0.3690,0.6878,0.8158,0.6754,0.5833,0.2240,1.9962,1.7387,2.5559,2.5440,2.1818,2.2064,0.1767,P4>P3>P5>P1>P2,0,
BIH,Bosnia and Herzegovina,1996,2,24.8610,51.6699,33.9259,,37.2655,,,0.5890,,0.8224,2268.5629,0.0917,33.2213,52.9854,,0.3693,0.7390,0.8224,0.4402,0.5299,0.5826,0.2220,1.0083,2.6571,3.0564,1.5274,1.1123,1.7139,0.1940,P3>P2>P5>P4>P1,2,EduIdx; RD
BLR,Belarus,1996,2,35.9854,48.2312,35.9589,,36.3043,,0.9985,0.8700,0.6782,0.7472,4039.3404,3.3712,,67.5819,,0.3912,0.4730,0.7127,0.7814,0.6758,0.5824,0.2216,1.2180,2.9188,2.6123,2.3346,2.2032,2.0893,0.1665,P4>P3>P5>P2>P1,1,ODA
KWT,Kuwait,1996,2,51.2868,70.5085,53.0306,,61.5822,,0.2054,0.3550,0.5321,0.8554,56912.6961,41.1792,,71.5401,,0.5910,0.3642,0.6938,0.6658,0.7154,0.5823,0.2211,2.6458,1.5647,2.5918,2.4862,2.4171,2.4329,0.1431,P5>P3>P4>P1>P2,1,ODA
CUB,Cuba,1996,2,30.9464,38.2159,33.8754,,47.1676,,0.3474,-0.6400,0.6533,0.8414,,1.4270,0.2333,70.3151,,0.3755,0.2862,0.7473,0.9799,0.7032,0.5812,0.2183,1.1113,1.2098,3.0708,2.4253,2.3743,1.9156,0.2845,P4>P3>P5>P1>P2,1,GDPpcPPP
IDN,Indonesia,1996,2,46.3636,47.9495,53.8127,,30.9801,,,-0.1140,0.4511,0.6995,4807.0927,6.4280,0.4781,43.8598,,0.4478,0.6128,0.5753,0.7621,0.4386,0.5765,0.2058,1.6861,1.8857,1.4810,1.8625,0.6845,1.5751,0.1332,P4>P2>P3>P1>P5,1,RD
MDA,Moldova,1996,2,37.0963,55.6715,51.2186,,44.5685,,0.8730,0.3490,,0.7115,3021.3099,0.2926,3.2761,64.0942,,0.4714,0.4163,0.7115,0.7324,0.6409,0.5748,0.2013,1.9362,2.4135,1.7846,1.9835,1.9251,2.0106,0.1430,P4>P3>P5>P1>P2,1,EduIdx
UKR,Ukraine,1996,2,28.6603,41.3632,43.3895,,27.1098,,1.1923,1.0820,0.6831,0.7246,3812.2456,3.0066,,62.2704,,0.3513,0.5073,0.7039,0.7809,0.6227,0.5739,0.1988,0.8337,3.0752,2.5364,2.3568,1.7326,1.8991,0.1690,P4>P3>P5>P2>P1,1,ODA
ALB,Albania,1996,2,32.4784,50.1734,42.4034,,30.9015,,,-0.2260,0.5364,0.8325,3054.0352,1.3615,6.8551,53.5521,,0.3899,0.5928,0.6845,0.6662,0.5355,0.5693,0.1868,1.1177,1.7143,2.5703,1.6311,1.1551,1.5594,0.1188,P3>P4>P2>P5>P1,1,RD
IRN,"Iran, Islamic Rep.",1996,2,46.0879,40.2832,28.4233,,38.9664,,,-0.5040,0.5644,0.7435,9915.5894,20.9895,0.1373,62.3501,,0.3844,0.5429,0.6540,0.7080,0.6235,0.5666,0.1795,1.1795,1.3714,2.0954,2.0102,1.7540,1.6247,0.1258,P4>P3>P5>P2>P1,1,RD
TUR,Turkiye,1996,2,54.1291,54.7642,52.7304,,42.0077,,0.4516,0.3840,0.4309,0.7730,10624.4819,0.3750,0.0995,49.5946,,0.5091,0.3862,0.6019,0.8496,0.4959,0.5637,0.1720,2.1492,2.0143,1.7964,2.8780,0.9198,2.0431,0.1748,P4>P3>P1>P5>P2,0,
MEX,Mexico,1996,2,43.2984,45.1438,57.5339,,34.5323,,0.2384,0.7900,0.5283,0.7860,9495.7101,4.1147,0.0730,52.2018,,0.4513,0.4058,0.6572,0.8193,0.5220,0.5618,0.1668,1.6456,1.9917,2.1826,2.4125,1.0267,1.8542,0.1682,P4>P3>P5>P1>P2,0,
UZB,Uzbekistan,1996,2,29.5157,34.1182,26.0904,,22.8317,,,-0.0120,,0.6889,2213.9526,10.6468,0.6320,55.5449,,0.2814,0.6311,0.6889,0.6914,0.5554,0.5597,0.1613,0.4211,1.9143,1.6000,1.4087,1.3262,1.1802,0.1704,P4>P3>P2>P5>P1,2,EduIdx; RD
PRY,Paraguay,1996,2,35.3686,48.4396,44.7444,,22.1549,,,-0.7970,0.5107,0.7546,7040.0192,2.2261,0.7731,51.6616,,0.3768,0.4903,0.6327,0.8048,0.5166,0.5559,0.1512,1.0763,1.0286,1.9067,2.2042,1.0053,1.4270,0.1624,P4>P3>P5>P2>P1,1,RD
CHN,China,1996,2,45.2578,47.7650,49.6419,,41.1593,,0.5601,0.6300,0.4269,0.7819,2087.7477,3.0048,0.3102,63.9233,,0.4596,0.4169,0.6044,0.7447,0.6392,0.5528,0.1431,1.7318,2.3827,1.8482,1.7795,1.8824,1.8990,0.1343,P4>P5>P3>P1>P2,0,
VNM,Viet Nam,1996,2,40.3533,45.2719,42.0664,,33.7228,,,-0.8100,0.4309,0.7892,2019.1825,7.0028,3.7244,73.4561,,0.4035,0.4880,0.6100,0.6594,0.7346,0.5502,0.1361,1.2383,1.0000,1.9503,1.1890,2.5455,1.5281,0.1329,P5>P4>P3>P2>P1,1,RD
RUS,Russian Federation,1996,2,37.0586,42.0398,44.7957,,28.2118,,0.9659,1.1430,0.6875,0.6992,5517.8589,10.4927,,41.9769,,0.3803,0.4949,0.6934,0.7500,0.4198,0.5494,0.1340,1.1183,3.0977,2.4974,2.1898,0.5561,1.7714,0.1653,P4>P3>P2>P5>P1,1,ODA
LBY,Libya,1996,2,30.3692,35.1804,27.6395,,33.1281,,,-0.3310,0.5969,0.7806,19392.4870,31.8951,0.0130,51.4564,,0.3158,0.5739,0.6887,0.6720,0.5146,0.5460,0.1250,0.6485,1.5143,2.4677,2.1151,0.9840,1.4229,0.1506,P3>P4>P2>P5>P1,1,RD
MKD,North Macedonia,1996,2,38.7052,49.2852,45.7868,,35.7699,,0.3591,0.5190,0.5032,0.7978,5025.9190,0.3613,2.2957,50.0507,,0.4239,0.3910,0.6505,0.7745,0.5005,0.5388,0.1057,1.4720,1.9594,2.1949,2.1944,0.9412,1.7350,0.1613,P4>P3>P5>P1>P2,0,
GTM,Guatemala,1996,2,32.9659,38.4436,46.6435,,32.1113,,,-0.2830,0.3274,0.6852,4143.1483,1.3893,1.1838,41.5744,,0.3754,0.5825,0.5063,0.7762,0.4157,0.5376,0.1025,1.0940,1.6286,1.1662,1.9995,0.5134,1.2849,0.1588,P4>P2>P3>P5>P1,1,RD
ZWE,Zimbabwe,1996,2,51.1208,45.7553,32.5301,,39.8268,,,-0.2220,0.4741,0.4459,3372.4697,7.9904,5.7178,55.6071,,0.4231,0.5935,0.4600,0.6460,0.5561,0.5310,0.0850,1.4502,1.7714,0.9149,1.3059,1.3476,1.3820,0.0927,P4>P2>P5>P3>P1,1,RD
DZA,Algeria,1996,2,36.7836,40.6858,40.6874,,35.0880,,,-0.2440,0.4475,0.7418,8052.7686,21.1719,0.6915,31.1342,,0.3831,0.5895,0.5947,0.6868,0.3113,0.5306,0.0840,1.0970,1.6857,1.6318,1.7396,0.2353,1.2725,0.1583,P4>P3>P2>P1>P5,1,RD
