iso3,country,year,GovEff,RuleLaw,RegQual,CtrlCorr,PolStab,GDPpcPPP,ResRents,ODA,RD
AUT,Austria,2004,86.4791262,88.1478853,80.7169338,86.9145503,82.2026191,33518.5160023521,0.131901261003047,,2.18238
AUT,Austria,2012,80.9035185,86.2674662,78.9805335,75.6280326,88.1333917,46156.4832073037,0.238508218256069,,2.93372
AUT,Austria,2018,82.5356457,87.9258414,79.0042947,80.9458723,80.3126544,56636.4953030542,0.140755073164382,,3.10828
AUT,Austria,2024,80.788653,85.839794,76.1709511,74.0564191,74.2916722,73911.439663136,,,3.25517
AZE,Azerbaijan,1996,24.8609548,35.9860988,34.7555617,17.8974596,48.3322465,2406.7723161914,26.0389631948694,3.04231583679146,0.23533
AZE,Azerbaijan,2004,30.5540511,44.1216688,45.056419,22.6420388,46.680331,5247.53834365156,28.7444372660525,2.15293945086171,0.29831
AZE,Azerbaijan,2012,35.6234046,44.0289324,47.1444037,24.100494,54.2130281,15994.1466501837,29.0119697503912,0.436274797981122,0.21427
AZE,Azerbaijan,2018,48.3097216,45.7200216,51.7004974,29.5057873,59.8006383,15282.9995232298,27.6209320144449,0.194911109054397,0.18416
AZE,Azerbaijan,2024,54.5704861,48.6111324,56.9902493,32.1660634,63.4960375,25088.9993757134,,0.177593277770775,0.20778
BDI,Burundi,1996,15.90718,35.4885821,26.5557809,30.2683204,22.9866362,512.745181432347,28.9246630230297,12.9244184199407,
BDI,Burundi,2004,21.6256177,35.2559863,35.6300759,28.4592069,24.698766,551.562209243605,30.4545201860965,40.4101604424957,
BDI,Burundi,2012,28.2619278,37.0746775,40.2652191,19.5571703,33.3042337,637.247080191101,17.5501999315408,22.5847831135912,0.10702
BDI,Burundi,2018,31.3256171,33.1410129,39.4725223,18.2082157,38.1593506,823.013102241659,13.4317629933204,15.464650265895,0.21312
BDI,Burundi,2024,31.7781047,34.5421294,42.0271013,18.251816,42.3840199,1194.94681370387,,18.0888145204265,
BEL,Belgium,1996,83.9666964,81.0445186,71.7106735,78.2349074,87.5013947,22745.2145866007,0.0226157229287321,,1.74299
BEL,Belgium,2004,83.2374328,78.3346538,76.6997905,76.2542206,77.4790373,32059.6878637798,0.0158636559921044,,1.8205
BEL,Belgium,2012,86.366277,79.5766143,72.2228614,77.937871,82.0362545,42483.5250666788,0.0633726115847057,,2.27079
BEL,Belgium,2018,75.2725459,81.4169961,74.8669275,77.2933117,73.1489848,52466.7330784599,0.0484487814693338,,2.86365
BEL,Belgium,2024,74.5710173,79.0425834,74.4753152,77.5852129,67.9689981,73514.4831045258,,,3.27235
BEN,Benin,1996,35.9853648,58.4715987,50.5655182,32.2877798,79.4210103,1443.96771280369,8.30238134307419,12.4526199160322,
BEN,Benin,2004,42.6625249,50.3164102,45.2739053,37.5436623,68.9150967,1915.34644346381,3.12542829249992,6.36724756332919,
BEN,Benin,2012,41.5909397,49.6069557,46.3197256,34.1433739,71.9143063,2346.08416204547,3.92162835813785,4.58596831613439,
BEN,Benin,2018,44.2934018,49.5306211,47.7352989,41.941421,68.7128078,2965.30628143664,2.60830727598415,4.04494507868339,
BEN,Benin,2024,47.7351469,49.8656515,50.4899699,42.9823784,59.0103392,4434.5642184028,,5.31568351133842,
BFA,Burkina Faso,1996,32.4784433,47.1824753,44.5681832,52.3516625,63.4843981,753.30916674031,12.8265050804085,16.1653362179418,0.15834
BFA,Burkina Faso,2004,36.1047764,47.9302322,44.8921218,41.944516,63.3329407,1079.00009142751,5.43726005672726,11.9746661254518,0.21514
BFA,Burkina Faso,2012,39.3018866,50.7353118,50.974796,40.260143,54.8280938,1571.83884477315,12.4016028413011,9.41167023449076,0.19719
BFA,Burkina Faso,2018,41.9626977,49.9735678,48.1794332,44.666051,49.4637727,2073.3235382155,8.87619594401664,7.71744567393734,0.17435
BFA,Burkina Faso,2024,34.3295393,41.7528823,46.5739404,42.7426883,33.3312021,2895.89152033665,,7.56324891464011,0.10477
BGD,Bangladesh,1996,35.5680728,41.1264677,36.5772712,30.2023957,53.3908719,1260.7548952152,0.590055045886,2.02494739001098,
BGD,Bangladesh,2004,33.7230881,39.1175381,37.2411518,17.1748732,43.1999208,1861.51256285455,1.25033088137691,2.09243477979753,
BGD,Bangladesh,2012,35.8085681,39.9471869,39.4260092,25.1573288,40.8009467,3434.27815090447,1.55456977469424,1.48973452826055,
BGD,Bangladesh,2018,39.2969731,41.3093968,42.4744798,25.660416,48.3828183,5490.15881865179,0.649238822939078,0.911021785754119,
BGD,Bangladesh,2024,39.305124,40.4414129,39.8788257,25.5454805,40.9048506,9646.76984383255,,1.24954695482709,
BGR,Bulgaria,1996,39.612497,53.6063755,46.6871366,43.9734707,64.001453,6849.0021040768,1.00162472163927,,0.41826
BGR,Bulgaria,2004,51.0484216,55.3446755,63.4121368,50.5708265,66.783822,9200.48242563727,1.13721174341521,,0.47086
BGR,Bulgaria,2012,47.4089366,53.2210692,60.0907434,40.6232903,72.5755043,16327.3382758143,1.60464880529568,,0.60039
BGR,Bulgaria,2018,50.8647631,54.5437289,62.4588537,44.0211942,76.0222279,23997.6876896184,0.678372706778028,,0.75505
BGR,Bulgaria,2024,52.1730773,56.3908659,59.4055004,42.9964948,66.5764069,41969.4515718999,,,0.79224
BHR,Bahrain,1996,60.5301346,59.1158538,59.0916949,50.0345068,60.9200024,40105.8476952372,22.4740735880541,2.1775165501654,
BHR,Bahrain,2004,58.6760131,64.599874,67.9425578,52.391342,68.471918,46317.0284804025,19.5474993928405,0.462967860449633,
BHR,Bahrain,2012,57.8638325,54.5957001,67.5311823,51.2212153,48.2073407,56712.5692656153,23.5822213574272,,0.09713
BHR,Bahrain,2018,59.4713513,55.979506,62.6920421,45.0015605,51.0725144,51993.1307818652,14.7513564173951,,
BHR,Bahrain,2024,63.0118001,59.8550294,69.8494802,52.9975172,61.18214,66941.2430367989,,,0.19327
BHS,"Bahamas, The",1996,73.6278656,78.4620922,63.581372,75.0508432,83.2823744,21287.3553874746,0.0800968796029261,,
BHS,"Bahamas, The",2004,69.3273559,81.2615421,71.8362345,71.3777232,77.6911378,27659.5379539899,0.00632085195324348,,
BHS,"Bahamas, The",2012,70.3486239,68.2085592,63.9498129,77.8470371,82.9628972,31035.5500568874,0.0123502671887337,,
BHS,"Bahamas, The",2018,65.8703491,63.5294406,57.0956828,70.1768051,78.0748811,35227.7619063243,0.0131261113776456,,
BHS,"Bahamas, The",2024,65.1320947,61.2845195,53.1711824,72.7942056,83.8182788,41197.9342548477,,,
BIH,Bosnia and Herzegovina,1996,24.8609548,51.6698582,33.9259234,37.265499,52.9853923,2268.56289865693,0.0917408632221787,33.2213315564414,
BIH,Bosnia and Herzegovina,2004,36.1002245,48.9827528,48.6633587,38.9767528,61.0816575,5407.42779562896,1.70617299249607,6.43546608035466,0.0159
BIH,Bosnia and Herzegovina,2012,39.8385143,54.6947838,51.6261809,39.6379992,55.8057131,10121.1905288877,2.2205854902667,3.27171882317825,0.26533
BIH,Bosnia and Herzegovina,2018,38.3790948,51.4383622,49.8822151,34.8913674,60.9490035,14858.5590469909,1.05259180342277,1.74829663060733,0.19199
BIH,Bosnia and Herzegovina,2024,38.9873757,51.4721898,49.3451777,37.4735881,57.3354627,25043.0886396127,,1.12054899426767,0.21437
BLR,Belarus,1996,35.9853648,48.2311562,35.9588659,36.30435,67.5818795,4039.34042566187,3.37119722373573,,0.99852
BLR,Belarus,2004,26.8415363,43.9872584,35.6915624,40.8237867,66.1808363,8482.92020698503,1.79153055739652,0.191670701172284,0.62759
BLR,Belarus,2012,30.45526,44.261523,38.6196465,41.568153,65.9563004,18114.7508606708,1.72782026745452,0.160193874370293,0.64603
BLR,Belarus,2018,46.8691706,44.3481599,42.4297946,45.2800597,70.4663947,20025.9815543598,1.98128406238056,0.205960428555063,0.60443
BLR,Belarus,2024,37.6995982,35.7852241,35.4281591,36.1526013,59.4495003,33010.3307605357,,0.163628490419037,0.5872
BLZ,Belize,1996,46.0244582,63.5775996,59.5320282,47.0151357,71.9343959,6087.14883018667,0.409891121326979,2.55238480624062,
BLZ,Belize,2004,43.7151755,58.1645614,53.5487376,45.8167316,70.8619157,9244.91166156485,0.185339714258494,0.521637712657364,
BLZ,Belize,2012,46.125709,51.2701275,49.6909361,46.3306581,67.4417369,9303.37857455225,3.9491024337509,1.45845389633908,
BLZ,Belize,2018,43.6589881,46.797157,44.4053385,45.6640437,66.4003212,9497.23480443418,0.796890251194486,1.58862154792986,
BLZ,Belize,2024,48.8303528,50.1294796,47.7644224,44.6078242,79.2986992,14346.5188049737,,1.08319954119534,
BMU,Bermuda,1996,66.1026449,75.2479503,77.2145681,75.4363736,77.9640044,42545.1202187236,0.0,,0.05885
BMU,Bermuda,2004,63.8781907,69.8957193,73.1496926,69.710594,76.6614487,64790.2739198061,0.0,,
BMU,Bermuda,2012,65.9656171,74.9156409,77.7831436,74.6674341,82.1701025,69149.0500342682,0.0,,0.23355
BMU,Bermuda,2018,79.6625603,71.9929416,68.634521,71.6026897,82.5699367,85978.2177227009,0.0,,0.22851
BMU,Bermuda,2024,80.0326675,70.7350905,64.7758095,71.6636167,82.483526,124252.835702586,,,
BOL,Bolivia,1996,45.5797598,51.721091,55.5041162,36.215684,61.9936049,3644.90018385362,4.73280305606934,10.5734663953166,0.32544
BOL,Bolivia,2004,40.5573014,47.4023059,52.3558867,35.205593,55.6214078,4662.97077714293,7.4299811875095,8.42390227521992,0.27663
BOL,Bolivia,2012,46.5251981,38.0857289,41.1562555,33.7077963,59.3825729,7183.82602452107,12.3531411069095,2.59953933559642,
BOL,Bolivia,2018,44.2577026,34.8524194,41.4800081,31.1809484,62.6256651,10758.4075594003,5.37166725772886,1.53644720760895,0.06643
BOL,Bolivia,2024,39.4715143,35.1463232,35.0786424,27.6622228,56.5672297,12877.6351184372,,1.49625231245653,
BRA,Brazil,1996,51.6820575,51.0983647,53.1748982,50.2719582,65.3389031,8300.63414154543,1.14889170835858,0.0307255066474577,
BRA,Brazil,2004,47.1185129,51.9366464,55.4374457,45.746281,62.1394834,10525.7113782454,2.53496036492128,0.027447600185284,0.96343
BRA,Brazil,2012,51.2325195,56.195583,57.8500598,47.6243331,64.1931786,15198.086330971,3.85552495977285,0.0536062337293943,1.12684
BRA,Brazil,2018,47.3268322,50.0545424,51.00996,39.6038112,54.8735087,15463.7426393743,3.61759120230309,0.0238765152366434,1.15016
BRA,Brazil,2024,46.9849597,49.2849848,50.2174997,39.5782583,57.0022212,22338.4765640635,,0.0329925461852714,1.1938
BRB,Barbados,1996,66.1026449,70.3327404,76.6008296,77.3866191,81.0222275,13090.2347268185,0.230653856863165,0.249815729268907,
BRB,Barbados,2004,63.0358835,80.7071389,68.7853967,71.3065601,82.2272507,17298.8922582212,0.23925567556558,0.910552469071582,
BRB,Barbados,2012,76.4337875,77.0754981,65.649051,77.1088364,86.9858703,19605.0169248071,0.455018922008083,0.280167937908421,
BRB,Barbados,2018,70.3771055,71.1218064,61.5208185,70.8309468,79.5644616,19777.0593234662,0.214063429251287,,
BRB,Barbados,2024,63.0957497,69.4902317,61.8101531,72.6663418,87.6259794,24822.5343309908,,,
BRN,Brunei Darussalam,1996,64.2459257,75.0779326,74.1509822,62.8959211,90.3529578,70007.6412879003,26.9444100718296,,
BRN,Brunei Darussalam,2004,59.2609126,67.6538755,67.3509607,52.0712707,84.6729909,80403.7579093987,30.6736955466632,,0.03381
BRN,Brunei Darussalam,2012,65.8823655,67.873787,70.4741421,67.4308345,81.2960012,87256.0422369454,25.2092889599313,,
BRN,Brunei Darussalam,2018,71.1784033,62.8251115,68.5877855,72.467989,85.452549,65148.8264035521,22.5076667399112,,0.27764
BRN,Brunei Darussalam,2024,67.5801007,67.0778539,68.85143,71.8648783,86.4388526,89879.3614980758,,,
BTN,Bhutan,1996,56.0635515,52.9716362,52.0060971,63.2911735,73.5712659,2547.83812203065,5.8349893078325,21.2875457647328,
BTN,Bhutan,2004,56.5460141,58.2770833,44.5602769,62.9366208,80.7668081,4172.78217119849,2.96502678462155,10.0267034685161,
BTN,Bhutan,2012,61.3969587,60.1888482,41.618918,64.3226052,79.1442935,8577.40731901004,4.25283283104005,8.82701000919087,
BTN,Bhutan,2018,61.8106419,68.4519547,54.1177752,77.2441309,84.943449,11969.5615003305,1.98850743903733,4.56683231329935,
BTN,Bhutan,2024,62.6342595,70.5657526,53.4229511,77.655202,89.0248497,16215.1520073153,,5.50953026767311,0.09979
BWA,Botswana,1996,55.9084641,67.1648419,61.6760756,67.9252968,85.4803698,7890.35144206262,1.2490411836837,1.62289357629267,
BWA,Botswana,2004,61.2414921,68.5612582,66.2332102,66.9708983,81.3841064,10818.1586503167,3.22396760199793,0.58272112985742,0.53286
BWA,Botswana,2012,62.0834707,69.0723799,68.6756465,68.8205677,86.8170255,12736.5833891004,2.25863530970605,0.515886535564421,0.26759
BWA,Botswana,2018,58.0832291,63.9036925,63.6453172,65.0852111,82.8874409,15785.819633781,0.869694754311434,0.555766082671716,
BWA,Botswana,2024,59.4464824,62.335899,61.2018557,60.6300979,83.5276303,20538.1320178889,,1.4639329988872,
CAF,Central African Republic,1996,25.9462734,36.0229176,32.399507,22.8693735,34.0700685,600.772967864624,12.0071547470753,17.1407535665158,
CAF,Central African Republic,2004,19.1447727,34.2104292,36.4349861,21.2684888,40.1468683,690.426514027755,8.16831180133758,8.74489474583014,
CAF,Central African Republic,2012,23.6371891,32.3815252,36.8733906,28.603104,33.9342509,1062.06809941049,9.16768384336065,9.04369304422466,
CAF,Central African Republic,2018,21.5152476,30.2298104,33.291231,23.1421404,33.5480547,905.817788941094,11.1787424768372,26.8587345478905,
CAF,Central African Republic,2024,20.6860087,27.4518394,34.8637158,21.3390083,34.5847268,1263.10234213699,,27.2523724328105,
CAN,Canada,1996,85.8946487,87.1594677,73.5470488,91.9717095,87.9694647,24054.9166185572,3.20298844899117,,1.60682
CAN,Canada,2004,87.7108563,86.0946295,81.5159486,82.7547469,79.1553606,33929.2936832786,4.43821726904446,,1.99735
CAN,Canada,2012,88.9811361,84.5256708,82.1230095,85.1142379,84.5696233,42291.9729357094,1.44307674491624,,1.77303
CAN,Canada,2018,87.0103408,86.271688,80.7639121,84.4384176,81.902439,49982.5999118346,1.79820431653194,,1.7372
CAN,Canada,2024,85.5449383,82.1066204,76.3468072,80.8871678,76.1173365,64610.3795171971,,,1.7908
CEB,Central Europe and the Baltics,1996,,,,,,8429.84644349891,1.03635672701621,0.0523550108343193,0.721461977412582
CEB,Central Europe and the Baltics,2004,,,,,,13467.6290528794,1.1061097330347,0.0162642235287008,0.733653905068232
CEB,Central Europe and the Baltics,2012,,,,,,23101.2505100944,2.06986567788745,0.0103291318193684,1.05004024585916
CEB,Central Europe and the Baltics,2018,,,,,,32302.3729630334,1.37821568057069,,1.18518960726648
CEB,Central Europe and the Baltics,2024,,,,,,50487.3304819118,,,1.34190356157401
CHE,Switzerland,1996,87.0413929,90.7250694,74.6972128,90.5103233,91.806906,31509.4795447819,0.0184092683245298,,2.37649
CHE,Switzerland,2004,89.9794757,88.5915979,84.3962737,85.6495758,84.2696225,40171.1805746279,0.0139653911937158,,2.60818
CHE,Switzerland,2012,89.0475918,89.1280452,84.0283691,91.6767417,89.4833984,59440.9158607666,0.0116054102262085,,2.87456
CHE,Switzerland,2018,92.4115084,89.896047,83.3279776,94.2843777,87.3363762,70688.8187491194,0.0130088671838284,,3.14983
CHE,Switzerland,2024,87.1231822,87.3183948,82.7948642,88.484008,82.6457687,96497.6947971323,,,3.22178
CHI,Channel Islands,1996,,,,,,,0.0,,
CHI,Channel Islands,2004,,,,,,,0.0,,
CHL,Chile,1996,70.8407695,77.4607012,75.1987471,80.0529494,77.3399111,7895.19827576749,4.95869610912803,0.258418721222503,
CHL,Chile,2004,73.6220208,79.0810373,78.3454247,73.5204354,76.7445575,11612.4368780779,9.56665341226193,0.0589552745023036,
CHL,Chile,2012,76.3044361,76.5100387,79.2671617,77.8060014,76.021408,21366.1771264909,9.05442637303188,0.0507452099514586,0.36213
CHL,Chile,2018,71.4772443,73.4538309,73.4003225,70.3659016,77.4109534,25305.0903462611,5.83707726201581,0.0264884442017967,0.36916
CHL,Chile,2024,70.0934775,68.8582581,67.1756362,70.2378516,67.9673582,36181.156616977,,,0.39205
CHN,China,1996,45.2578271,47.765037,49.6418508,41.1593023,63.9232808,2087.74769649351,3.00480163840847,0.310237459984248,0.56014
CHN,China,2004,44.4416002,44.5440504,49.8162385,34.9186166,58.2173345,4504.92937237596,4.72487591845752,0.086402169423247,1.19732
CHN,China,2012,48.7736773,45.063528,50.9371607,37.5960069,55.3418691,11420.2527051141,4.0884931932087,-0.00208612452600876,1.88095
CHN,China,2018,61.6672656,48.0074945,53.434562,46.4348595,61.8459925,16298.2050619109,1.42518421392494,-0.00500663161982718,2.10232
CHN,China,2024,68.7581244,46.9942092,53.7384426,49.649869,63.2751622,27104.8702677463,,-0.0014730637020795,2.57729
CIV,Cote d'Ivoire,1996,56.5466965,43.0869286,42.7327525,49.2481211,65.2409281,2831.79903711036,3.10906315979616,8.59614825837236,
CIV,Cote d'Ivoire,2004,19.9016798,32.0231399,36.2463568,24.2136462,28.2039018,2794.17325719366,2.49321707811937,1.08666902902343,
CIV,Cote d'Ivoire,2012,30.6005962,39.0775817,42.27887,30.9520936,39.9454062,3290.72306949457,5.36757176448081,11.217518613801,
CIV,Cote d'Ivoire,2018,41.464396,46.2409862,50.174469,38.0747455,50.2088875,4945.62520575915,3.10996909544373,1.68748542255382,0.06975
CIV,Cote d'Ivoire,2024,45.2016572,47.0144438,52.2296396,42.0850347,51.4803735,7669.23195715687,,3.05721422148846,
CMR,Cameroon,1996,35.629059,33.2573108,31.8678414,23.7210989,47.4496727,1849.50650036011,9.19379916300563,3.91265983563661,
CMR,Cameroon,2004,30.9468514,39.946125,42.1337808,24.4523324,56.388165,2532.64744424214,4.73178788679167,4.23787291035076,
CMR,Cameroon,2012,35.1510433,37.937987,40.6163178,22.8753488,52.250605,3059.64226568251,8.40581417479506,2.00993875481005,
CMR,Cameroon,2018,38.1570168,37.3033286,42.6462258,25.2599595,40.7993905,4010.76360069526,6.10463986256462,2.97159552702231,
CMR,Cameroon,2024,35.769927,35.3872816,43.3706071,23.0734123,39.3016895,5588.98645861945,,1.96523478281563,
COD,"Congo, Dem. Rep.",1996,19.365579,26.7847043,22.4585424,10.852608,20.2455996,526.165019253166,36.2990334122152,3.0779046040276,
COD,"Congo, Dem. Rep.",2004,16.088933,28.1760985,29.8672508,16.8973841,28.0440471,455.866557396548,24.0864214623167,19.2119372573258,0.26777
COD,"Congo, Dem. Rep.",2012,20.7485057,28.182074,32.6459433,20.0611825,28.0279579,647.801733284929,27.1229704627568,10.0098649801982,
COD,"Congo, Dem. Rep.",2018,21.8032194,28.4473323,34.4346669,16.8537109,33.49551,1048.86502855672,18.4167757889728,5.59190086514283,
COD,"Congo, Dem. Rep.",2024,18.413102,28.9696892,34.5989483,17.1820286,29.6954723,1821.04868718058,,6.41679298729654,
COG,"Congo, Rep.",1996,25.9220111,41.2667935,31.3305359,32.7702975,33.208833,3547.2135393678,39.2687753315493,29.6401642642504,
COG,"Congo, Rep.",2004,29.0716099,39.2445961,39.5970188,28.3793642,45.4402718,3991.51124729764,40.0820482272883,3.65632268125272,
COG,"Congo, Rep.",2012,30.9720606,36.3702899,37.099649,23.0857798,54.4771831,6058.06449417412,41.3573491386651,0.837297315892287,
COG,"Congo, Rep.",2018,32.3426501,36.227589,36.3824626,20.1366895,54.1142196,5593.19370578686,42.6682046537325,1.05051511783037,
